SYMBOL,BSE_CODE,COMPANY_NAME,SECTOR,Q4_FY26_REVENUE_CR,Q4_FY26_PAT_CR,FY26_ANNUAL_REVENUE_CR,FY26_ANNUAL_PAT_CR,MARKET_CAP_CR,DATA_NOTE,FY
AFCONS,544280,Afcons Infrastructure Ltd,Infrastructure - EPC,3033,89,12322,251,12000,Q4 FY26 PAT loss of 89Cr (loss quarter); FY26 Revenue 12322Cr PAT 251Cr; Mkt cap approx as of Jun-26,FY26
ANUP,542460,The Anup Engineering Ltd,Capital Goods - Process Equipment,193,27,732,118,3730,Q4 FY26 Rev 193Cr PAT 27Cr (-16% YoY); FY26 Rev 732Cr PAT 118Cr,FY26
,543928,Cosmic CRF Ltd,Steel - Railway Components,,,,,960,Q4 FY26 results not yet published as of 01-Jun-26; BSE-only listing,FY26
DYNAMATECH,505242,Dynamatic Technologies Ltd,Aerospace & Hydraulics,433,126,1621,324,7600,Q4 FY26 Rev 433Cr +14% YoY; FY26 Rev 1621Cr +15.5% YoY; PAT FY26 324Cr (-25% YoY due to Metallurgy),FY26
GANECOS,514167,Ganesha Ecosphere Ltd,Textiles - Recycled Polyester,424,23,1504,73,2474,Q4 FY26 Rev 424Cr +23% YoY PAT 23Cr -2% YoY; FY26 Rev 1504Cr approx,FY26
GRAVITA,533282,Gravita India Ltd,Recycling - Non-Ferrous,1182,92,4265,378,12500,Q4 FY26 Rev 1182Cr PAT 92Cr; FY26 Rev 4265Cr +10% YoY PAT 378Cr +21% YoY,FY26
KMEW,543245,Knowledge Marine & Engineering Works Ltd,Marine Services,,,,,2800,Q4 FY26 results not yet published; FY26 interim data; Mkt cap approx as of Jun-26,FY26
KPIGREEN,544283,KPI Green Energy Ltd,Renewable Energy - Solar,796,156,2653,518,8217,Q4 FY26 Rev 796Cr +40% YoY PAT 156Cr +49% YoY; FY26 strong performance,FY26
,543209,KSH International Ltd,Logistics & Supply Chain,,,3107,110,5553,Q4 FY26 results not yet filed; BSE-only; FY26 Rev est 3107Cr PAT 110Cr (screener data),FY26
LLOYDSENGG,539992,Lloyds Engineering Works Ltd,Capital Goods - Heavy Engineering,,,841,58,5791,FY26 Rev ~841Cr PAT ~58Cr; Q4 individual quarter not separately published,FY26
,544470,M & B Engineering Ltd,Capital Goods - Engineering,,,,,420,BSE-only SME; Q4 FY26 results pending; Mkt cap approx as of Jun-26,FY26
