NSE_SYMBOL,BSE_CODE,COMPANY_NAME
AFCONS,544280,Afcons Infrastructure Ltd
ANUP,542460,The Anup Engineering Ltd
,543928,Cosmic CRF Ltd
DYNAMATECH,505242,Dynamatic Technologies Ltd
GANECOS,514167,Ganesha Ecosphere Ltd
GRAVITA,533282,Gravita India Ltd
KMEW,543245,Knowledge Marine & Engineering Works Ltd
KPIGREEN,544283,KPI Green Energy Ltd
,543209,KSH International Ltd
LLOYDSENGG,539992,Lloyds Engineering Works Ltd
,544470,M & B Engineering Ltd
PRICOL,540293,Pricol Ltd
RAJRATAN,517522,Rajratan Global Wire Ltd
RHIM,543287,RHI Magnesita India Ltd
,517035,RIR Power Electronics Ltd
SANSERA,543358,Sansera Engineering Ltd
SHREEREF,544458,Shree Refrigerations Ltd
SUNCLAY,520056,Sundaram Clayton Ltd
TATATECH,544028,Tata Technologies Ltd
VENUSPIPES,543528,Venus Pipes & Tubes Ltd
VINCOFE,538920,Vintage Coffee and Beverages Ltd
AARTIIND,524208,Aarti Industries Ltd
BECTORFOOD,543253,Mrs Bectors Food Specialities Ltd
DYNAMICCABLES,543683,Dynamic Cables Ltd
E2ENETWORKS,542066,E2E Networks Ltd
ELECON,505700,Elecon Engineering Company Ltd
,522017,Fluidomat Ltd
JASH,530027,Jash Engineering Ltd
JUBLFOOD,533155,Jubilant FoodWorks Ltd
JUBLINGREA,543278,Jubilant Ingrevia Ltd
JUPITERWAG,542564,Jupiter Wagons Ltd
KAYNES,543289,Kaynes Technology India Ltd
LXCHEM,542180,Laxmi Organic Industries Ltd
NDRAUTO,543214,NDR Auto Components Ltd
PARAGMILK,539889,Parag Milk Foods Ltd
PROSTARM,544410,Prostarm Info Systems Ltd
PROTEAN,544021,Protean eGov Technologies Ltd
SEDEMAC,543769,SEDEMAC Mechatronics Ltd
SIGMAADV,532408,Sigma Advanced Systems Ltd
TDPOWERSYS,533397,TD Power Systems Ltd
TRANSRAILL,544317,Transrail Lighting Ltd
TRIVENI,533655,Triveni Turbine Ltd
